dataset,experiment_stage,feature_set,optimization_method,model_family,model_name,classifier,n_runs,n_features_mean,accuracy_mean,accuracy_std,precision_handover_mean,precision_handover_std,recall_handover_mean,recall_handover_std,f1_handover_mean,f1_handover_std,f1_handover_min,f1_handover_max,dataset_short
D1_ANATEL_UFJF_raw_drive_test_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Decision_Tree,Decision_Tree,5,90.0,0.8036137775268211,0.006827396499239658,0.8094466374937351,0.011403154321216288,0.7977553310886644,0.01846572756334353,0.8033815934662144,0.00797425122354874,0.7926054303870596,0.8135593220338984,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,KNN,KNN,5,90.0,0.7920948616600791,0.004399221045913588,0.7861860394247626,0.010761696523947128,0.8062850729517397,0.007385267733495833,0.796027693757088,0.002251453545372477,0.7933701657458564,0.7995482778091474,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Logistic_Regression,Logistic_Regression,5,90.0,0.6213438735177865,0.009874160435142677,0.6096340446604878,0.008985316623775405,0.6879910213243546,0.01779882326279875,0.6463637150857852,0.010579453248508194,0.6361724500525763,0.6599894570374275,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Random_Forest,Random_Forest,5,90.0,0.9153020892151327,0.0026181870399479956,0.8977632058682558,0.009721303841099677,0.9387205387205387,0.008038610361153744,0.9177185581092415,0.0019821352313504526,0.9157549234135668,0.9205113952195664,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,SVM,SVM,5,90.0,0.7643139469226427,0.007880901783113656,0.7693563144165891,0.011546227452488574,0.7593714927048261,0.006668215837267288,0.7642835605836099,0.0065898437983022634,0.7533482142857143,0.7697516930022573,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Decision_Tree,Decision_Tree,5,1080.0,0.8083568605307736,0.01451498047481386,0.7979553295280143,0.018275947232931425,0.8296296296296296,0.02275877325366841,0.8132619913959859,0.014142711261523578,0.8006718924972005,0.8375411635565313,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,KNN,KNN,5,1080.0,0.789158667419537,0.009419721048511258,0.7770125643351296,0.009163042738607957,0.8148148148148149,0.015531259823903545,0.7954063789925311,0.009950255488310912,0.7791920309905921,0.8030973451327433,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Logistic_Regression,Logistic_Regression,5,1080.0,0.6519480519480519,0.00919708210980839,0.6520940361463421,0.007761500344604799,0.6606060606060605,0.01728905138487832,0.6562625937880058,0.011347273597300195,0.6458569807037458,0.6751241036955322,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Random_Forest,Random_Forest,5,1080.0,0.9097684923771882,0.00335006142838875,0.8977263351556601,0.009486441454098875,0.926374859708193,0.012437167386931616,0.9117305216650639,0.0034839523988383315,0.906784335355764,0.916164383561644,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,SVM,SVM,5,1080.0,0.768944099378882,0.007939346811235575,0.7728282806558429,0.00803805344383511,0.7658810325476992,0.009069406891509297,0.76932989854426,0.008060718742258043,0.7615819209039548,0.7790304396843292,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Decision_Tree,Decision_Tree,5,40.0,0.8222473178994918,0.01275415427535871,0.8177139674053523,0.008694024400022099,0.832547699214366,0.0363452725519919,0.8246588946388279,0.016511845022104968,0.8002302820955671,0.8443473511742218,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,KNN,KNN,5,40.0,0.7845285149632976,0.009954557141067874,0.783991129714242,0.01062980815242732,0.7892255892255893,0.012150274839707648,0.7865686621034701,0.00997402135896758,0.7700055959709009,0.7964305633017289,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Logistic_Regression,Logistic_Regression,5,40.0,0.6431394692264257,0.01717788339376201,0.6280384998956248,0.018822213472240144,0.714702581369248,0.00986122677283449,0.6684498914391377,0.012057589942778923,0.6565126050420168,0.6846361185983828,D1 ANATEL/UFJF proxy
D1_ANATEL_UFJF_raw_drive_test_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Random_Forest,Random_Forest,5,40.0,0.9197063805759458,0.009460250691613502,0.9133558935293828,0.012062966279055759,0.9286195286195286,0.012933656826835418,0.9208648767238806,0.009336022601712273,0.9098998887652948,0.9319313779745434,D1 ANATEL/UFJF proxy
