dataset,experiment_stage,feature_set,optimization_method,model_family,model_name,classifier,n_runs,n_features_mean,accuracy_mean,accuracy_std,precision_handover_mean,precision_handover_std,recall_handover_mean,recall_handover_std,f1_handover_mean,f1_handover_std,f1_handover_min,f1_handover_max,dataset_short,stage_short
D1_ANATEL_UFJF_raw_drive_test_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Random_Forest,Random_Forest,5,90.0,0.9153020892151327,0.0026181870399479956,0.8977632058682558,0.009721303841099677,0.9387205387205387,0.008038610361153744,0.9177185581092415,0.0019821352313504526,0.9157549234135668,0.9205113952195664,D1 ANATEL/UFJF proxy,Raw windows
D1_ANATEL_UFJF_raw_drive_test_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Random_Forest,Random_Forest,5,1080.0,0.9097684923771882,0.00335006142838875,0.8977263351556601,0.009486441454098875,0.926374859708193,0.012437167386931616,0.9117305216650639,0.0034839523988383315,0.906784335355764,0.916164383561644,D1 ANATEL/UFJF proxy,Temporal engineering
D1_ANATEL_UFJF_raw_drive_test_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Random_Forest,Random_Forest,5,40.0,0.9197063805759458,0.009460250691613502,0.9133558935293828,0.012062966279055759,0.9286195286195286,0.012933656826835418,0.9208648767238806,0.009336022601712273,0.9098998887652948,0.9319313779745434,D1 ANATEL/UFJF proxy,ANOVA FS
D1_ANATEL_UFJF_raw_drive_test_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,KNN,KNN,5,117.2,0.8081309994353474,0.006455341654219219,0.7948962863566928,0.008247868858160463,0.8338945005611672,0.010735761206346221,0.8138808407710044,0.006394325749544583,0.8048378229796591,0.8204015192620727,D1 ANATEL/UFJF proxy,PCA
D1_ANATEL_UFJF_raw_drive_test_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,Random_Forest,Random_Forest,5,4.2,0.847656691134952,0.012469752009896968,0.8466122145438311,0.020852177339437082,0.8520763187429854,0.00422928028763562,0.849222738582144,0.010489189217090905,0.8379272326350606,0.8602029312288614,D1 ANATEL/UFJF proxy,ANOVA + PCA
D1_ANATEL_UFJF_raw_drive_test_proxy,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,GRU,direct_sigmoid,5,108.0,0.8858272162619988,0.02531949723813626,0.8892440425062349,0.0241644492229126,0.8830527497194163,0.030617316863633483,0.8860517400358168,0.025745367336888626,0.8459796149490374,0.9053680132816824,D1 ANATEL/UFJF proxy,Direct deep
D1_ANATEL_UFJF_raw_drive_test_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,KNN,KNN,5,32.0,0.9007340485601356,0.014191780232683466,0.9038034912323581,0.014445980310818828,0.8983164983164983,0.013963933571264426,0.90104949000873,0.014117373647878358,0.8785151856017998,0.9114495205865764,D1 ANATEL/UFJF proxy,Individual deep features
D1_ANATEL_UFJF_raw_drive_test_proxy,08_combined_deep_features_to_classifiers,LSTM_GRU_TCN_Transformer_deep_features,combined_deep_feature_extraction,classical_ml,KNN,KNN,5,128.0,0.919932241671372,0.006931672970942502,0.9106632902489797,0.010748892418914748,0.9324354657687991,0.0065634978752922134,0.9213878499228185,0.006527796278977058,0.9116022099447514,0.9279731993299832,D1 ANATEL/UFJF proxy,Combined deep features
D2_urban_multi_operator_public_proxy,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,SVM,SVM,5,490.0,0.7225780701217664,0.04529703033469167,0.3554438530668063,0.048136036180802706,0.587069155930859,0.07365288954609601,0.4383524988942501,0.031754817412202235,0.393206381883685,0.4679656538969617,D2 Urban proxy,Raw windows
D2_urban_multi_operator_public_proxy,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,SVM,SVM,5,5880.0,0.7536109080849087,0.0413182475038637,0.37923210276669905,0.05831534759564108,0.4870185063435903,0.04284463410421296,0.4229838789889536,0.03613417870775244,0.3735717834078489,0.4681914280222948,D2 Urban proxy,Temporal engineering
D2_urban_multi_operator_public_proxy,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Logistic_Regression,Logistic_Regression,5,40.0,0.641507228228352,0.031266029958173895,0.29722231216884276,0.0544216083284303,0.6791243475167372,0.03197264083559701,0.41179117513023344,0.05803780566066261,0.3342215454891511,0.4655418930511867,D2 Urban proxy,ANOVA FS
D2_urban_multi_operator_public_proxy,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,Logistic_Regression,Logistic_Regression,5,420.2,0.6809225322154797,0.04656789654239707,0.32283519757585977,0.046678869666974744,0.6519420337810768,0.05597128962652181,0.4305732638238875,0.04908404066242172,0.3733121525019857,0.480231716147719,D2 Urban proxy,PCA
D2_urban_multi_operator_public_proxy,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,Logistic_Regression,Logistic_Regression,5,10.0,0.6399492217317425,0.03240321218450843,0.297563011445127,0.05327692509680654,0.6874517078206834,0.02829943678445618,0.4137114325361525,0.056834709727067306,0.3393939393939394,0.4645546242363972,D2 Urban proxy,ANOVA + PCA
D2_urban_multi_operator_public_proxy,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,GRU,direct_sigmoid,5,588.0,0.6784522419377514,0.06860245727564417,0.3202701543384921,0.024848970032905746,0.6444250413810564,0.08062306414503838,0.42754558730237935,0.03884810225635849,0.3789764868603043,0.475499629903775,D2 Urban proxy,Direct deep
D2_urban_multi_operator_public_proxy,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,Logistic_Regression,Logistic_Regression,5,32.0,0.6921176710588989,0.052990170319179145,0.3310439798413237,0.032642946987115465,0.6411409544711703,0.05002636218837549,0.43581938172906626,0.034450475581629426,0.3912003825920612,0.4731533669534263,D2 Urban proxy,Individual deep features
D2_urban_multi_operator_public_proxy,08_combined_deep_features_to_classifiers,LSTM_GRU_TCN_Transformer_deep_features,combined_deep_feature_extraction,classical_ml,Logistic_Regression,Logistic_Regression,5,128.0,0.7142292693050771,0.04501347404628226,0.34036315413463497,0.03505904094391022,0.5673597099893833,0.06212393155712277,0.4228488955379496,0.026888704439747085,0.3982642237222758,0.4645413142485361,D2 Urban proxy,Combined deep features
D3_ORAN_7_2_event_log_handover_labels,01_raw_flattened_windows,raw_time_windows,none_raw_baseline,classical_ml,Random_Forest,Random_Forest,5,540.0,0.9371981236355664,0.018632034597298057,0.8573347644553031,0.013258898747255433,0.9808610053661273,0.018458179843722593,0.9148367355327736,0.011026577523099388,0.9012458219386204,0.926232219649355,D3 O-RAN event label,Raw windows
D3_ORAN_7_2_event_log_handover_labels,02_engineered_flattened_windows,engineered_time_windows,temporal_feature_engineering,classical_ml,Random_Forest,Random_Forest,5,6480.0,0.941974734904141,0.019133624802467178,0.8740228819489658,0.014578392109904801,0.9752669900817221,0.008817352989160209,0.9217838953753688,0.007451997360316886,0.9127789046653144,0.9300769488123118,D3 O-RAN event label,Temporal engineering
D3_ORAN_7_2_event_log_handover_labels,03_feature_selection_on_engineered,selected_engineered_features,feature_selection_anova_top_40,classical_ml,Random_Forest,Random_Forest,5,40.0,0.9268384167170567,0.024585536395647575,0.8449843755911692,0.011969762878337375,0.9701321947851536,0.011381360874354566,0.9031733998462268,0.007775073959659205,0.8917505030181087,0.9123269611074488,D3 O-RAN event label,ANOVA FS
D3_ORAN_7_2_event_log_handover_labels,04_pca_on_engineered,pca_engineered_features,pca_0.95_feature_variance,classical_ml,Logistic_Regression,Logistic_Regression,5,160.6,0.9239365169877353,0.026363777117109796,0.8370852770072567,0.014293978126821927,0.9751976512768936,0.013533890571434292,0.9007238830358653,0.005038689235872212,0.8947784810126582,0.9063324538258576,D3 O-RAN event label,PCA
D3_ORAN_7_2_event_log_handover_labels,05_feature_selection_plus_pca,selected_pca_engineered_features,feature_selection_anova_plus_pca,classical_ml,Logistic_Regression,Logistic_Regression,5,2.4,0.9078785192745583,0.0322778452017297,0.8190860961504589,0.015023099861648575,0.9507098034398549,0.015218648261155179,0.8798796703975402,0.009728491072173773,0.8665330661322646,0.891248206599713,D3 O-RAN event label,ANOVA + PCA
D3_ORAN_7_2_event_log_handover_labels,06_direct_deep_learning,engineered_sequence_features,deep_temporal_learning,deep_learning_direct,GRU,direct_sigmoid,5,648.0,0.9337511565794937,0.02149025060248793,0.8571946158907426,0.014742335844203506,0.9726950058982574,0.010605885028120939,0.911184697987113,0.006778150062104776,0.904862579281184,0.9207009207009208,D3 O-RAN event label,Direct deep
D3_ORAN_7_2_event_log_handover_labels,07_individual_deep_features_to_classifiers,GRU_deep_features,GRU_as_feature_extractor,classical_ml,Random_Forest,Random_Forest,5,32.0,0.9385331654298396,0.02000842783457164,0.8746174068164269,0.013759403369559891,0.9625880174192739,0.015736723553798546,0.9163415354994582,0.006407651654617392,0.9088689991863304,0.9220384745190684,D3 O-RAN event label,Individual deep features
D3_ORAN_7_2_event_log_handover_labels,08_combined_deep_features_to_classifiers,LSTM_GRU_TCN_Transformer_deep_features,combined_deep_feature_extraction,classical_ml,Random_Forest,Random_Forest,5,128.0,0.9401430541359392,0.02037869110485371,0.8780568169661283,0.013575329764225425,0.9644870136821122,0.012590796868525567,0.9191157701221305,0.0052780232019615835,0.9107215654300856,0.9239940387481372,D3 O-RAN event label,Combined deep features
