dataset,dataset_short,rows_after_target_creation,positive_ratio,groups_sessions,target_source,split_mode,best_stage,best_model,best_classifier,best_f1_mean,best_f1_std,best_precision,best_recall,best_accuracy
D1_ANATEL_UFJF_raw_drive_test_proxy,D1 ANATEL/UFJF proxy,8881,0.5030964981421011,3,derived_future_cell_change:PCI,random,Combined deep features,KNN,KNN,0.9213878499228184,0.006527796278977,0.9106632902489796,0.9324354657687992,0.919932241671372
D2_urban_multi_operator_public_proxy,D2 Urban proxy,30810,0.1860759493670886,23,derived_future_cell_change:CellID,group_by_session,Raw windows,SVM,SVM,0.4383524988942501,0.0317548174122022,0.3554438530668063,0.587069155930859,0.7225780701217664
D3_ORAN_7_2_event_log_handover_labels,D3 O-RAN event label,466861,0.0142633460494665,146,official_column:handover_event_marker;mode:future_horizon,group_by_session,Temporal engineering,Random_Forest,Random_Forest,0.9217838953753688,0.0074519973603168,0.8740228819489658,0.975266990081722,0.941974734904141
