0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-76.52662658691406,-75.6088638305664,-75.79462432861328,-74.54653930664062,-74.38676452636719,-75.048095703125,-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,0.0
-75.6088638305664,-75.79462432861328,-74.54653930664062,-74.38676452636719,-75.048095703125,-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,0.0
-75.79462432861328,-74.54653930664062,-74.38676452636719,-75.048095703125,-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,0.0
-74.54653930664062,-74.38676452636719,-75.048095703125,-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,0.0
-74.38676452636719,-75.048095703125,-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,-70.0479965209961,0.0
-75.048095703125,-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,-70.0479965209961,-69.82817840576172,0.0
-74.46961975097656,-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,-70.0479965209961,-69.82817840576172,-69.65316772460938,1.0
-74.63082885742188,-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,-70.0479965209961,-69.82817840576172,-69.65316772460938,-69.71403503417969,1.0
-75.0492935180664,-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,-70.0479965209961,-69.82817840576172,-69.65316772460938,-69.71403503417969,-69.87273406982422,0.0
-74.62157440185547,-73.91132354736328,-73.59123229980469,-74.94309997558594,-73.34973907470703,-72.52799987792969,-72.07037353515625,-72.82613372802734,-73.06195831298828,-72.8831558227539,-72.71986389160156,-73.09465026855469,-73.09321594238281,-73.15462493896484,-72.05272674560547,-71.91290283203125,-72.45169067382812,-72.51836395263672,-72.84744262695312,-72.71208190917969,-70.82266998291016,-69.89923095703125,-71.78897094726562,-69.51031494140625,-70.15100860595703,-70.08572387695312,-68.0959243774414,-69.8459243774414,-70.79012298583984,-69.05758666992188,-68.14700317382812,-67.69686889648438,-67.03900146484375,-66.0676498413086,-67.20649719238281,-67.67644500732422,-67.72286224365234,-67.95074462890625,-67.90669250488281,-67.96908569335938,-68.15162658691406,-69.128173828125,-70.90975952148438,-70.49563598632812,-70.0479965209961,-69.82817840576172,-69.65316772460938,-69.71403503417969,-69.87273406982422,-69.52597045898438,0.0
