0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-78.67444610595703,-78.08024597167969,-78.27520751953125,-76.69489288330078,-76.60801696777344,-77.33744049072266,-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,0.0
-78.08024597167969,-78.27520751953125,-76.69489288330078,-76.60801696777344,-77.33744049072266,-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,0.0
-78.27520751953125,-76.69489288330078,-76.60801696777344,-77.33744049072266,-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,0.0
-76.69489288330078,-76.60801696777344,-77.33744049072266,-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,0.0
-76.60801696777344,-77.33744049072266,-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,-71.53267669677734,0.0
-77.33744049072266,-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,-71.53267669677734,-71.24143981933594,0.0
-76.84546661376953,-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,-71.53267669677734,-71.24143981933594,-71.24398803710938,1.0
-76.8548812866211,-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,-71.53267669677734,-71.24143981933594,-71.24398803710938,-71.32746124267578,1.0
-77.42019653320312,-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,-71.53267669677734,-71.24143981933594,-71.24398803710938,-71.32746124267578,-71.40039825439453,0.0
-77.28047180175781,-76.14546203613281,-75.48269653320312,-77.14495086669922,-75.95069122314453,-74.869873046875,-73.99839782714844,-75.04106903076172,-75.345947265625,-75.2894287109375,-75.18962097167969,-75.58963775634766,-75.3782958984375,-75.16661071777344,-74.15715026855469,-74.51759338378906,-74.93401336669922,-75.09828186035156,-75.11859893798828,-75.0997314453125,-73.21634674072266,-72.07638549804688,-74.08236694335938,-72.20982360839844,-72.5192642211914,-72.14252471923828,-70.85291290283203,-72.46773529052734,-73.1927261352539,-71.39814758300781,-70.1797103881836,-69.79325103759766,-69.2863998413086,-68.08012390136719,-68.8396224975586,-69.482177734375,-69.66362762451172,-69.6252212524414,-69.54920196533203,-69.49937438964844,-69.481201171875,-70.4215087890625,-72.86096954345703,-72.30992126464844,-71.53267669677734,-71.24143981933594,-71.24398803710938,-71.32746124267578,-71.40039825439453,-71.44315338134766,0.0
