0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-78.406982421875,-76.99542999267578,-77.55628204345703,-75.5091323852539,-75.9361572265625,-76.74087524414062,-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,0.0
-76.99542999267578,-77.55628204345703,-75.5091323852539,-75.9361572265625,-76.74087524414062,-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,0.0
-77.55628204345703,-75.5091323852539,-75.9361572265625,-76.74087524414062,-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,0.0
-75.5091323852539,-75.9361572265625,-76.74087524414062,-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,0.0
-75.9361572265625,-76.74087524414062,-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,0.0
-76.74087524414062,-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,0.0
-75.80602264404297,-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,1.0
-76.01232147216797,-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,1.0
-76.69747161865234,-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,0.0
-76.3331527709961,-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,0.0
-75.01402282714844,-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,-70.43812561035156,0.0
-74.57601928710938,-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,-70.43812561035156,-70.43352508544922,0.0
-76.7901840209961,-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,-70.43812561035156,-70.43352508544922,-70.43013763427734,0.0
-74.64349365234375,-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,-70.43812561035156,-70.43352508544922,-70.43013763427734,-70.4278335571289,0.0
-73.78971099853516,-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,-70.43812561035156,-70.43352508544922,-70.43013763427734,-70.4278335571289,-70.42635345458984,0.0
-73.00242614746094,-74.47447204589844,-74.3927001953125,-74.26960754394531,-74.22855377197266,-74.80227661132812,-74.42433166503906,-74.27526092529297,-73.08441162109375,-73.8396224975586,-74.13843536376953,-74.18897247314453,-74.19090270996094,-74.19364166259766,-71.8697280883789,-71.06237030029297,-73.7682113647461,-70.60968780517578,-71.69445037841797,-71.0244140625,-69.5365982055664,-71.93917846679688,-72.22039794921875,-69.861328125,-69.0472412109375,-68.86141204833984,-68.20472717285156,-66.7668685913086,-67.99819946289062,-68.43047332763672,-68.48212432861328,-68.4720458984375,-68.47126007080078,-68.4801025390625,-68.49127960205078,-69.66841888427734,-72.41519165039062,-71.01220703125,-70.46337890625,-70.39987182617188,-70.42672729492188,-70.44438934326172,-70.44727325439453,-70.44342041015625,-70.43812561035156,-70.43352508544922,-70.43013763427734,-70.4278335571289,-70.42635345458984,-70.4254379272461,0.0
